	W1	W2	pred
1730	playing	has	independent
1731	guitar	person	disjoint
1732	guitar	bald person	independent
1733	man	bald person	independent
1734	stage	person	disjoint
1735	stage	bald person	independent
1736	guitar on stage	person	disjoint
1737	guitar on stage	bald person	independent
1738	on stage	blonde	independent
1739	on stage	flyaway	disjoint
1740	children	knees	independent
1741	children	Several children	independent
1742	knees	children	independent
1743	knees	Several children	independent
1744	Several children	children	independent
1745	Several children	knees	independent
1746	knees raised	children	independent
1747	knees raised	knees	independent
1748	knees raised	Several children	independent
1749	sitting	lying	disjoint
1750	sitting	raising	disjoint
1751	raised	lying	disjoint
1752	raised	raising	synonym
1753	ground	girls	independent
1754	ground	Two girls	independent
1755	girls	ground	independent
1756	girls	Two girls	independent
1757	Two young girls	ground	independent
1758	Two young girls	girls	independent
1759	Two young girls	Two girls	forwardentailment
1760	young	on the ground	independent
1761	ground	children	independent
1762	ground	knees	disjoint
1763	ground	Several children	independent
1764	ground	knees raised	disjoint
1765	girls	children	forwardentailment
1766	girls	knees	independent
1767	girls	Several children	independent
1768	girls	knees raised	independent
1769	Two girls	children	independent
1770	Two girls	knees	independent
1771	Two girls	Several children	forwardentailment
1772	Two girls	knees raised	independent
1773	lying	sitting	disjoint
1774	lying	raised	disjoint
1775	on the ground	Several	independent
1776	body	crowd	independent
1777	body	front	independent
1778	body	lady	independent
1779	body	paint	disjoint
1780	body	body paint	independent
1781	body	front of a crowd	independent
1782	crowd	body	independent
1783	crowd	front	independent
1784	crowd	lady	independent
1785	crowd	paint	disjoint
1786	crowd	body paint	independent
1787	crowd	front of a crowd	independent
1788	front	body	disjoint
1789	front	crowd	independent
1790	front	lady	independent
1791	front	paint	independent
1792	front	body paint	independent
1793	front	front of a crowd	independent
1794	lady	body	independent
1795	lady	crowd	independent
1796	lady	front	independent
1797	lady	paint	independent
1798	lady	body paint	independent
1799	lady	front of a crowd	independent
1800	paint	body	disjoint
1801	paint	crowd	disjoint
1802	paint	front	independent
1803	paint	lady	independent
1804	paint	body paint	reverseentailment
1805	paint	front of a crowd	independent
1806	body paint	body	independent
1807	body paint	crowd	independent
1808	body paint	front	independent
1809	body paint	lady	independent
1810	body paint	paint	forwardentailment
1811	body paint	front of a crowd	independent
1812	front of a crowd	body	independent
1813	front of a crowd	crowd	independent
1814	front of a crowd	front	independent
1815	front of a crowd	lady	independent
1816	front of a crowd	paint	independent
1817	front of a crowd	body paint	independent
1818	nude lady	body	independent
1819	nude lady	crowd	disjoint
1820	nude lady	front	disjoint
1821	nude lady	lady	forwardentailment
1822	nude lady	paint	disjoint
1823	nude lady	body paint	disjoint
1824	nude lady	front of a crowd	independent
1825	body	crowd in body paint	independent
1826	body	front of a lady	independent
1827	crowd	crowd in body paint	independent
1828	crowd	front of a lady	independent
1829	front	crowd in body paint	independent
1830	front	front of a lady	independent
1831	lady	crowd in body paint	disjoint
1832	lady	front of a lady	independent
1833	paint	crowd in body paint	independent
1834	paint	front of a lady	independent
1835	body paint	crowd in body paint	reverseentailment
1836	body paint	front of a lady	independent
1837	front of a crowd	crowd in body paint	independent
1838	front of a crowd	front of a lady	independent
1839	nude lady	crowd in body paint	disjoint
1840	nude lady	front of a lady	disjoint
1841	in body paint	nude	disjoint
1842	paint	girl	independent
1843	paint	topless girl	disjoint
1844	woman	girl	disjoint
1845	woman	paint	independent
1846	woman	topless girl	independent
1847	young , topless woman	girl	independent
1848	young , topless woman	paint	independent
1849	young , topless woman	topless girl	independent
1850	topless	in paint	independent
1851	young	topless	independent
1852	young	in paint	independent
1853	in paint	topless	disjoint
1854	body	girl	independent
1855	body	topless girl	independent
1856	crowd	girl	independent
1857	crowd	topless girl	independent
1858	front	topless girl	disjoint
1859	lady	girl	reverseentailment
1860	lady	topless girl	independent
1861	body paint	girl	independent
1862	body paint	topless girl	disjoint
1863	front of a crowd	girl	independent
1864	front of a crowd	topless girl	independent
1865	nude lady	girl	forwardentailment
1866	nude lady	topless girl	reverseentailment
1867	walking	covered	independent
1868	in body paint	topless	disjoint
1869	in body paint	in paint	forwardentailment
1870	nude	topless	forwardentailment
1871	nude	in paint	disjoint
1872	body	woman	independent
1873	body	young , topless woman	independent
1874	crowd	woman	independent
1875	crowd	young , topless woman	independent
1876	front	woman	independent
1877	front	young , topless woman	independent
1878	lady	woman	synonym
1879	lady	young , topless woman	independent
1880	paint	woman	independent
1881	paint	young , topless woman	disjoint
1882	body paint	woman	independent
1883	body paint	young , topless woman	disjoint
1884	crowd in body paint	paint	independent
1885	crowd in body paint	woman	independent
1886	crowd in body paint	young , topless woman	disjoint
1887	front of a lady	paint	independent
1888	front of a lady	woman	independent
1889	front of a lady	young , topless woman	independent
1890	nude	young	independent
1891	front of a crowd	woman	independent
1892	front of a crowd	young , topless woman	independent
1893	nude lady	woman	independent
1894	nude lady	young , topless woman	reverseentailment
1895	in body paint	young	independent
1896	group	crowd	synonym
1897	group	crowd of people	synonym
1898	ocean	crowd	disjoint
1899	ocean	people	disjoint
1900	ocean	crowd of people	disjoint
1901	people	crowd	reverseentailment
1902	people	water	independent
1903	people	crowd of people	reverseentailment
1904	group of people	crowd	synonym
1905	group of people	water	independent
1906	group of people	people	synonym
1907	group of people	crowd of people	synonym
1908	near the ocean	near the water	forwardentailment
1909	crowd	water	disjoint
1910	crowd	crowd of people	synonym
1911	water	crowd	independent
1912	water	people	disjoint
1913	water	crowd of people	independent
1914	crowd of people	crowd	synonym
1915	crowd of people	water	independent
1916	near the water	from the water	reverseentailment
1917	gate	group	independent
1918	gate	mother	independent
1919	gate	children	independent
1920	gate	clothes	disjoint
1921	gate	same clothes	independent
1922	group	gate	independent
1923	group	mother	independent
1924	group	children	independent
1925	group	clothes	independent
1926	group	same clothes	independent
1927	mother	gate	independent
1928	mother	group	independent
1929	mother	children	independent
1930	mother	clothes	independent
1931	mother	same clothes	independent
1932	children	gate	disjoint
1933	children	mother	disjoint
1934	children	clothes	independent
1935	children	same clothes	independent
1936	uniforms	gate	disjoint
1937	uniforms	group	independent
1938	uniforms	mother	independent
1939	uniforms	children	independent
1940	uniforms	clothes	forwardentailment
1941	uniforms	same clothes	forwardentailment
1942	children in uniforms	gate	independent
1943	children in uniforms	group	independent
1944	children in uniforms	mother	disjoint
1945	children in uniforms	children	forwardentailment
1946	children in uniforms	clothes	independent
1947	children in uniforms	same clothes	independent
1948	kissing	waiting	independent
1949	kissing	wearing	disjoint
1950	standing	kissing	independent
1951	standing	waiting	independent
1952	standing	wearing	disjoint
1953	at a gate	same	independent
1954	gate	uniforms	independent
1955	gate	children in uniforms	independent
1956	group	uniforms	independent
1957	group	children in uniforms	independent
1958	children	uniforms	independent
1959	children	children in uniforms	reverseentailment
1960	mothers	gate	independent
1961	mothers	group	independent
1962	mothers	mother	synonym
1963	mothers	children	disjoint
1964	mothers	uniforms	independent
1965	mothers	children in uniforms	independent
1966	uniforms	children in uniforms	reverseentailment
1967	mothers in uniforms	gate	independent
1968	mothers in uniforms	group	independent
1969	mothers in uniforms	mother	independent
1970	mothers in uniforms	children	disjoint
1971	mothers in uniforms	uniforms	independent
1972	mothers in uniforms	children in uniforms	disjoint
1973	kissing	standing	independent
1974	near the children	at a gate	independent
1975	lot	friend	independent
1976	lot	man	independent
1977	lot	parking	independent
1978	lot	tennis	independent
1979	lot	parking lot	independent
1980	lot	tennis against a friend	independent
1981	man	friend	independent
1982	man	lot	independent
1983	man	parking	independent
1984	man	tennis	independent
1985	man	parking lot	independent
1986	man	tennis against a friend	independent
1987	parking	friend	independent
1988	parking	lot	independent
1989	parking	man	independent
1990	parking	tennis	disjoint
1991	parking	parking lot	synonym
1992	parking	tennis against a friend	disjoint
1993	tennis	friend	independent
1994	tennis	lot	independent
1995	tennis	man	independent
1996	tennis	parking	disjoint
1997	tennis	parking lot	disjoint
1998	tennis	tennis against a friend	reverseentailment
1999	wall	friend	independent
2000	wall	lot	independent
2001	wall	man	independent
2002	wall	parking	disjoint
2003	wall	tennis	independent
2004	wall	parking lot	disjoint
2005	wall	tennis against a friend	disjoint
2006	large wall	friend	independent
2007	large wall	lot	independent
2008	large wall	man	independent
2009	large wall	parking	disjoint
2010	large wall	tennis	disjoint
2011	large wall	parking lot	independent
2012	large wall	tennis against a friend	disjoint
2013	parking lot	friend	independent
2014	parking lot	lot	independent
2015	parking lot	man	independent
2016	parking lot	parking	forwardentailment
2017	parking lot	tennis	disjoint
2018	parking lot	tennis against a friend	disjoint
2019	against a large wall	in a parking lot	disjoint
2020	large	in a parking lot	independent
2021	lot	car	independent
2022	man	car	disjoint
2023	parking	car	independent
2024	tennis	car	disjoint
2025	wall	car	disjoint
2026	large wall	car	disjoint
2027	parking lot	car	independent
2028	playing	pointing	independent
2029	against a large wall	at a car	disjoint
2030	large	at a car	independent
2031	in a parking lot	at a car	independent
2032	friend	man	independent
2033	friend	sedan	independent
2034	friend	silver	independent
2035	friend	silver sedan	independent
2036	lot	sedan	independent
2037	lot	silver	independent
2038	lot	silver sedan	independent
2039	man	sedan	disjoint
2040	man	silver	independent
2041	man	silver sedan	independent
2042	parking	sedan	independent
2043	parking	silver	independent
2044	parking	silver sedan	independent
2045	tennis	sedan	disjoint
2046	tennis	silver	independent
2047	tennis	silver sedan	disjoint
2048	parking lot	sedan	independent
2049	parking lot	silver	independent
2050	parking lot	silver sedan	independent
2051	tennis against a friend	man	independent
2052	tennis against a friend	sedan	disjoint
2053	tennis against a friend	silver	independent
2054	tennis against a friend	silver sedan	disjoint
2055	in a parking lot	at a silver sedan	independent
2056	beach	group	independent
2057	beach	sea	independent
2058	beach	people	independent
2059	beach	group of people	independent
2060	group	sea	disjoint
2061	people	sea	disjoint
2062	group of people	group	independent
2063	group of people	sea	disjoint
2064	on a beach	near the sea	independent
2065	beach	mountain	disjoint
2066	group	mountain	disjoint
2067	people	mountain	disjoint
2068	group of people	mountain	disjoint
2069	on a beach	on a mountain	disjoint
2070	beach	Four people	independent
2071	man	beach	independent
2072	man	people	forwardentailment
2073	man	Four people	independent
2074	woman	beach	independent
2075	woman	people	independent
2076	woman	Four people	independent
2077	girls	beach	independent
2078	girls	people	forwardentailment
2079	girls	Four people	independent
2080	woman and two girls	beach	independent
2081	woman and two girls	people	forwardentailment
2082	woman and two girls	Four people	independent
2083	group	beach	independent
2084	group	Four people	independent
2085	people	beach	independent
2086	people	Four people	independent
2087	group of people	beach	independent
2088	group of people	Four people	reverseentailment
2089	on a beach	on the beach	synonym
2090	man	group of people	disjoint
2091	woman	group	independent
2092	woman	mountain	disjoint
2093	woman	group of people	independent
2094	girls	group	independent
2095	girls	mountain	disjoint
2096	girls	group of people	independent
2097	woman and two girls	group	independent
2098	woman and two girls	mountain	disjoint
2099	woman and two girls	group of people	independent
2100	on the beach	on a mountain	disjoint
2101	on the beach	on a beach	synonym
2102	bag	girl	independent
2103	bag	train	disjoint
2104	bag	black bag	reverseentailment
2105	bag	crowded train	independent
2106	schoolgirl	bag	independent
2107	schoolgirl	girl	independent
2108	schoolgirl	train	disjoint
2109	schoolgirl	black bag	independent
2110	schoolgirl	crowded train	independent
2111	train	bag	disjoint
2112	train	girl	independent
2113	train	black bag	disjoint
2114	train	crowded train	independent
2115	black bag	bag	forwardentailment
2116	black bag	girl	independent
2117	black bag	train	disjoint
2118	black bag	crowded train	independent
2119	crowded train	bag	independent
2120	crowded train	girl	independent
2121	crowded train	train	independent
2122	crowded train	black bag	independent
2123	black	crowded	independent
2124	black	on a crowded train	independent
2125	crowded	black	independent
2126	crowded	on a crowded train	independent
2127	on a crowded train	black	independent
2128	on a crowded train	crowded	independent
2129	girl	bag	independent
2130	girl	train	disjoint
2131	girl	black bag	independent
2132	girl	crowded train	independent
2133	bag	bag of a girl	independent
2134	bag	cramped black train	independent
2135	girl	bag of a girl	independent
2136	girl	cramped black train	independent
2137	train	bag of a girl	independent
2138	train	cramped black train	independent
2139	black bag	bag of a girl	independent
2140	black bag	cramped black train	independent
2141	crowded train	bag of a girl	independent
2142	crowded train	cramped black train	independent
2143	black	cramped	independent
2144	crowded	cramped	synonym
2145	on a crowded train	cramped	independent
2146	bag	crowd	independent
2147	bag	woman	independent
2148	bag	woman in a crowd	independent
2149	crowd	bag	independent
2150	crowd	black bag	independent
2151	crowd	woman in a crowd	independent
2152	woman	bag	independent
2153	woman	crowd	independent
2154	woman	black bag	independent
2155	woman	woman in a crowd	independent
2156	black bag	crowd	independent
2157	black bag	woman	independent
2158	black bag	woman in a crowd	independent
2159	woman in a crowd	bag	independent
2160	woman in a crowd	crowd	independent
2161	woman in a crowd	woman	independent
2162	woman in a crowd	black bag	independent
2163	Asian	black	disjoint
2164	black	Asian	disjoint
2165	girl	crowd	independent
2166	girl	woman	forwardentailment
2167	girl	woman in a crowd	independent
2168	train	crowd	independent
2169	train	woman	independent
2170	train	woman in a crowd	disjoint
2171	crowded train	crowd	independent
2172	crowded train	woman	independent
2173	crowded train	woman in a crowd	independent
2174	crowded	Asian	independent
2175	on a crowded train	Asian	independent
2176	schoolgirl	crowd	independent
2177	schoolgirl	woman	independent
2178	schoolgirl	woman in a crowd	independent
2179	dog	mouth	independent
2180	dog	piece	independent
2181	dog	wood	disjoint
2182	dog	piece of wood	disjoint
2183	mouth	dog	independent
2184	mouth	piece	independent
2185	mouth	wood	disjoint
2186	mouth	piece of wood	independent
2187	stick	dog	disjoint
2188	stick	mouth	disjoint
2189	stick	piece	forwardentailment
2190	stick	wood	independent
2191	stick	piece of wood	forwardentailment
2192	chasing	holding	disjoint
2193	holding	chasing	disjoint
2194	toy	object	forwardentailment
2195	toy	dogs	independent
2196	toy	mouths	independent
2197	toy	Two dogs	disjoint
2198	dogs	object	independent
2199	dogs	mouths	independent
2200	mouths	object	forwardentailment
2201	mouths	dogs	independent
2202	mouths	Two dogs	independent
2203	Two dogs	object	independent
2204	Two dogs	mouths	disjoint
2205	toy in their mouths	object	forwardentailment
2206	toy in their mouths	dogs	independent
2207	toy in their mouths	mouths	forwardentailment
2208	toy in their mouths	Two dogs	independent
2209	carrying	running	independent
2210	running	carrying	disjoint
2211	dog	object	forwardentailment
2212	dog	mouths	independent
2213	mouth	object	forwardentailment
2214	mouth	dogs	independent
2215	mouth	mouths	forwardentailment
2216	mouth	Two dogs	independent
2217	piece	object	forwardentailment
2218	piece	dogs	independent
2219	piece	mouths	independent
2220	piece	Two dogs	independent
2221	wood	object	forwardentailment
2222	wood	dogs	independent
2223	wood	mouths	independent
2224	wood	Two dogs	disjoint
2225	piece of wood	object	forwardentailment
2226	piece of wood	dogs	independent
2227	piece of wood	mouths	independent
2228	piece of wood	Two dogs	disjoint
2229	chasing	carrying	disjoint
2230	chasing	running	synonym
2231	holding	carrying	synonym
2232	holding	running	independent
2233	in its mouth	in their mouths	reverseentailment
2234	object	dog	reverseentailment
2235	object	mouth	reverseentailment
2236	object	stick	reverseentailment
2237	dogs	mouth	independent
2238	mouths	dog	independent
2239	mouths	mouth	forwardentailment
2240	mouths	stick	independent
2241	Two dogs	mouth	independent
2242	carrying	chasing	disjoint
2243	carrying	holding	synonym
2244	running	chasing	synonym
2245	running	holding	disjoint
2246	in their mouths	in its mouth	reverseentailment
2247	stick	object	forwardentailment
2248	stick	dogs	independent
2249	stick	mouths	independent
2250	stick	Two dogs	disjoint
2251	ball	goal	independent
2252	ball	soccer	independent
2253	ball	soccer ball	reverseentailment
2254	goal	ball	independent
2255	goal	net	independent
2256	goal	soccer	independent
2257	goal	soccer ball	independent
2258	net	goal	independent
2259	net	soccer	disjoint
2260	net	soccer ball	disjoint
2261	soccer	ball	independent
2262	soccer	goal	independent
2263	soccer	net	independent
2264	soccer	soccer ball	independent
2265	dirty soccer ball	ball	independent
2266	dirty soccer ball	goal	independent
2267	dirty soccer ball	net	independent
2268	dirty soccer ball	soccer	independent
2269	dirty soccer ball	soccer ball	forwardentailment
2270	dirty	into a goal	independent
2271	soccer ball	ball	forwardentailment
2272	soccer ball	goal	independent
2273	soccer ball	net	disjoint
2274	soccer ball	soccer	independent
2275	person	ball	disjoint
2276	person	goal	disjoint
2277	person	net	disjoint
2278	person	soccer	independent
2279	person	soccer ball	disjoint
2280	ball into the goal	ball	forwardentailment
2281	ball into the goal	goal	independent
2282	ball into the goal	net	independent
2283	ball into the goal	soccer	independent
2284	ball into the goal	soccer ball	independent
2285	person who plays soccer	ball	independent
2286	person who plays soccer	goal	independent
2287	person who plays soccer	net	disjoint
2288	person who plays soccer	soccer	independent
2289	person who plays soccer	soccer ball	disjoint
2290	kicking	rolling	disjoint
2291	plays	rolling	independent
2292	ball	soccer player	independent
2293	goal	player	independent
2294	goal	soccer player	independent
2295	net	player	disjoint
2296	net	soccer player	disjoint
2297	soccer	player	independent
2298	soccer	soccer player	independent
2299	soccer ball	player	independent
2300	soccer ball	soccer player	disjoint
2301	rolling	kicking	disjoint
2302	into a goal	out of the goal	disjoint
2303	into a goal	of the goal	independent
2304	ball	ball into the goal	reverseentailment
2305	goal	ball into the goal	independent
2306	net	ball into the goal	independent
2307	soccer	ball into the goal	independent
2308	soccer ball	ball into the goal	independent
2309	chair	man	independent
2310	chair	eyes	disjoint
2311	man	chair	independent
2312	man	eyes	independent
2313	eyes	chair	disjoint
2314	eyes	man	independent
2315	rubbing	sitting	disjoint
2316	sitting	rubbing	independent
2317	couch	man	independent
2318	couch	pencil	disjoint
2319	couch	sofa	forwardentailment
2320	couch	tattooed man	independent
2321	man	pencil	independent
2322	man	sofa	disjoint
2323	man	tattooed man	independent
2324	pencil	man	independent
2325	pencil	sofa	independent
2326	pencil	tattooed man	independent
2327	tattoos	man	independent
2328	tattoos	pencil	disjoint
2329	tattoos	sofa	disjoint
2330	tattoos	tattooed man	independent
2331	man with tattoos	man	independent
2332	man with tattoos	pencil	disjoint
2333	man with tattoos	sofa	disjoint
2334	man with tattoos	tattooed man	reverseentailment
2335	lounging	holding	disjoint
2336	on a couch	tattooed	independent
2337	on a couch	on a sofa	synonym
2338	couch	tattoos	independent
2339	couch	man with tattoos	independent
2340	man	couch	disjoint
2341	man	tattoos	independent
2342	man	man with tattoos	independent
2343	pencil	couch	disjoint
2344	pencil	tattoos	disjoint
2345	pencil	man with tattoos	disjoint
2346	tattoos	couch	disjoint
2347	tattoos	man with tattoos	independent
2348	man with tattoos	couch	disjoint
2349	man with tattoos	tattoos	independent
2350	holding	looking	disjoint
2351	holding	lounging	disjoint
2352	lounging	looking	independent
2353	on a couch	for a pencil	independent
2354	with a pencil	on a couch	independent
2355	chair	couch	disjoint
2356	chair	pencil	disjoint
2357	chair	tattoos	independent
2358	chair	man with tattoos	independent
2359	eyes	couch	disjoint
2360	eyes	pencil	disjoint
2361	eyes	tattoos	disjoint
2362	eyes	man with tattoos	independent
2363	rubbing	looking	disjoint
2364	rubbing	lounging	disjoint
2365	sitting	looking	independent
2366	sitting	lounging	reverseentailment
2367	on a chair	for a pencil	independent
2368	on a chair	on a couch	disjoint
2369	couch	chair	disjoint
2370	couch	eyes	disjoint
2371	pencil	chair	independent
2372	pencil	eyes	disjoint
2373	tattoos	chair	disjoint
2374	tattoos	eyes	disjoint
2375	man with tattoos	chair	independent
2376	man with tattoos	eyes	independent
2377	holding	rubbing	disjoint
2378	holding	sitting	disjoint
2379	with a pencil	on a chair	independent
2380	resting	holding	disjoint
2381	resting	lounging	reverseentailment
2382	rubbing	holding	disjoint
2383	lounging	rubbing	disjoint
2384	lounging	sitting	forwardentailment
2385	on a couch	on a chair	disjoint
2386	dog	grass	independent
2387	dog	black and tan dog	independent
2388	dog	low and green grass	independent
2389	grass	dog	independent
2390	grass	black and tan dog	independent
2391	grass	low and green grass	reverseentailment
2392	brown and white dog	dog	independent
2393	brown and white dog	grass	independent
2394	brown and white dog	black and tan dog	disjoint
2395	brown and white dog	low and green grass	disjoint
2396	tall grass	dog	independent
2397	tall grass	grass	forwardentailment
2398	tall grass	black and tan dog	independent
2399	tall grass	low and green grass	disjoint
2400	through the tall grass	black	independent
2401	through the tall grass	green	independent
2402	through the tall grass	low	disjoint
2403	through the tall grass	tan	independent
2404	brown	black	reverseentailment
2405	brown	green	disjoint
2406	brown	low	independent
2407	brown	tan	reverseentailment
2408	tall	black	independent
2409	tall	green	independent
2410	tall	low	disjoint
2411	tall	tan	independent
2412	white	black	disjoint
2413	white	green	disjoint
2414	white	low	independent
2415	white	tan	disjoint
2416	dog	brown and white dog	independent
2417	dog	tall grass	independent
2418	grass	brown and white dog	independent
2419	grass	tall grass	reverseentailment
2420	tall and green grass	dog	independent
2421	tall and green grass	grass	forwardentailment
2422	tall and green grass	brown and white dog	independent
2423	tall and green grass	tall grass	forwardentailment
2424	white and tan dog	dog	independent
2425	white and tan dog	grass	independent
2426	white and tan dog	brown and white dog	disjoint
2427	white and tan dog	tall grass	independent
2428	green	through the tall grass	independent
2429	green	brown	disjoint
2430	green	tall	independent
2431	green	white	disjoint
2432	tall	through the tall grass	independent
2433	tall	brown	independent
2434	tall	white	independent
2435	tan	through the tall grass	independent
2436	tan	brown	disjoint
2437	tan	tall	independent
2438	tan	white	disjoint
2439	white	through the tall grass	independent
2440	white	brown	disjoint
2441	white	tall	independent
2442	area	man	independent
2443	area	paint	independent
2444	area	clothes	independent
2445	area	area writing something	independent
2446	area	busy area writing something	independent
2447	man	area	independent
2448	man	paint	independent
2449	man	clothes	independent
2450	man	area writing something	independent
2451	man	busy area writing something	independent
2452	clothes	area	independent
2453	clothes	man	independent
2454	clothes	paint	disjoint
2455	clothes	area writing something	independent
2456	clothes	busy area writing something	independent
2457	area writing something	area	independent
2458	area writing something	man	independent
2459	area writing something	paint	independent
2460	area writing something	clothes	independent
2461	area writing something	busy area writing something	reverseentailment
2462	busy area writing something	area	independent
2463	busy area writing something	man	independent
2464	busy area writing something	paint	independent
2465	busy area writing something	clothes	independent
2466	busy area writing something	area writing something	forwardentailment
2467	paint covered clothes	area	disjoint
2468	paint covered clothes	man	independent
2469	paint covered clothes	paint	independent
2470	paint covered clothes	clothes	forwardentailment
2471	paint covered clothes	area writing something	independent
2472	paint covered clothes	busy area writing something	independent
2473	sitting	writing	independent
2474	sitting	covered	independent
2475	writing	sitting	disjoint
2476	writing	wearing	disjoint
2477	writing	covered	independent
2478	busy	with paint	independent
2479	covered	busy	independent
2480	covered	with paint	independent
2481	paint	busy	independent
2482	paint	with paint	independent
2483	paint	area	disjoint
2484	paint	man	independent
2485	paint	clothes	disjoint
2486	paint	area writing something	independent
2487	paint	busy area writing something	independent
2488	wearing	writing	disjoint
2489	wearing	covered	synonym
2490	covered	sitting	independent
2491	covered	wearing	synonym
2492	covered	writing	independent
2493	with paint	busy	independent
2494	area covered by paint	area	independent
2495	area covered by paint	man	independent
2496	area covered by paint	paint	independent
2497	area covered by paint	clothes	disjoint
2498	area covered by paint	area writing something	independent
2499	area covered by paint	busy area writing something	independent
2500	sitting man	area	independent
2501	sitting man	man	independent
2502	sitting man	paint	independent
2503	sitting man	clothes	independent
2504	sitting man	area writing something	independent
2505	sitting man	busy area writing something	independent
2506	by paint	busy	independent
2507	by paint	with paint	reverseentailment
2508	bike	man	independent
2509	bike	note	disjoint
2510	bike	note near a bike	independent
2511	man	bike	independent
2512	man	note	independent
2513	man	note near a bike	independent
2514	note	bike	disjoint
2515	note	man	independent
2516	note	note near a bike	independent
2517	area	bike	independent
2518	area	paper	independent
2519	area	piece	disjoint
2520	area	piece paper	independent
2521	man	paper	independent
2522	man	piece	independent
2523	man	piece paper	independent
2524	paint	bike	independent
2525	paint	paper	disjoint
2526	paint	piece	disjoint
2527	paint	piece paper	disjoint
2528	clothes	bike	disjoint
2529	clothes	paper	disjoint
2530	clothes	piece	forwardentailment
2531	clothes	piece paper	disjoint
2532	area writing something	bike	disjoint
2533	area writing something	paper	independent
2534	area writing something	piece	independent
2535	area writing something	piece paper	independent
2536	busy area writing something	bike	disjoint
2537	busy area writing something	paper	independent
2538	busy area writing something	piece	independent
2539	busy area writing something	piece paper	independent
2540	sitting	standing	disjoint
2541	wearing	standing	disjoint
2542	writing	standing	disjoint
2543	covered	standing	independent
2544	busy	near a bike	independent
2545	busy	on a piece paper	independent
2546	with paint	near a bike	independent
2547	with paint	on a piece paper	independent
2548	bike	area	independent
2549	bike	paint	independent
2550	bike	clothes	disjoint
2551	bike	area writing something	disjoint
2552	bike	busy area writing something	disjoint
2553	note	area	independent
2554	note	paint	disjoint
2555	note	clothes	disjoint
2556	note	area writing something	independent
2557	note	busy area writing something	independent
2558	note near a bike	area	independent
2559	note near a bike	man	independent
2560	note near a bike	paint	independent
2561	note near a bike	clothes	independent
2562	note near a bike	area writing something	independent
2563	note near a bike	busy area writing something	independent
2564	bike	paint covered clothes	disjoint
2565	man	paint covered clothes	independent
2566	note	paint covered clothes	disjoint
2567	near a bike	busy	independent
2568	near a bike	covered	independent
2569	near a bike	paint	independent
2570	grass	group	independent
2571	grass	scouts	independent
2572	grass	group of scouts	independent
2573	group	grass	independent
2574	group	scouts	independent
2575	group	group of scouts	reverseentailment
2576	scouts	grass	independent
2577	scouts	group	independent
2578	scouts	group of scouts	synonym
2579	group of scouts	grass	independent
2580	group of scouts	group	forwardentailment
2581	group of scouts	scouts	synonym
2582	camping	hiking	disjoint
2583	in the grass	through the grass	synonym
2584	people	People	forwardentailment
2585	people	grass	independent
2586	people	scouts	reverseentailment
2587	people	group of scouts	reverseentailment
2588	walking	camping	disjoint
2589	grass	people	disjoint
2590	scouts	people	forwardentailment
2591	group of scouts	people	forwardentailment
2592	hiking	walking	forwardentailment
2593	break	car	independent
2594	break	road	independent
2595	break	trip	disjoint
2596	break	men	independent
2597	break	Two men	independent
2598	break	snowy road	independent
2599	road	car	independent
2600	road	trip	independent
2601	road	men	independent
2602	road	Two men	independent
2603	road	snowy road	independent
2604	trip	car	independent
2605	trip	road	independent
2606	trip	men	independent
2607	trip	Two men	independent
2608	trip	snowy road	independent
2609	men	car	independent
2610	men	road	independent
2611	men	trip	independent
2612	men	Two men	independent
2613	men	snowy road	independent
2614	Two men	car	disjoint
2615	Two men	road	independent
2616	Two men	trip	independent
2617	Two men	men	independent
2618	Two men	snowy road	independent
2619	snowy road	car	independent
2620	snowy road	road	independent
2621	snowy road	trip	independent
2622	snowy road	men	independent
2623	snowy road	Two men	independent
2624	taking	breaking	disjoint
2625	on a snowy road	during a trip	independent
2626	on a snowy road	snowy	independent
2627	on a snowy road	into a car	independent
2628	snowy	during a trip	independent
2629	snowy	on a snowy road	independent
2630	snowy	into a car	independent
2631	from a trip	during a trip	synonym
2632	from a trip	on a snowy road	independent
2633	from a trip	snowy	independent
2634	from a trip	into a car	disjoint
2635	road	side	independent
2636	road	cars	independent
2637	road	Two men with cars	independent
2638	side	road	independent
2639	side	cars	independent
2640	side	men	independent
2641	side	Two men with cars	independent
2642	side	snowy road	independent
2643	bikes	road	independent
2644	bikes	side	independent
2645	bikes	cars	disjoint
2646	bikes	men	independent
2647	bikes	Two men with cars	disjoint
2648	bikes	snowy road	independent
2649	men	side	independent
2650	men	cars	independent
2651	men	Two men with cars	independent
2652	Two men with bikes	road	independent
2653	Two men with bikes	side	independent
2654	Two men with bikes	cars	disjoint
2655	Two men with bikes	men	independent
2656	Two men with bikes	Two men with cars	disjoint
2657	Two men with bikes	snowy road	independent
2658	men with bikes	road	independent
2659	men with bikes	side	independent
2660	men with bikes	cars	disjoint
2661	men with bikes	men	forwardentailment
2662	men with bikes	Two men with cars	disjoint
2663	men with bikes	snowy road	independent
2664	snowy road	side	independent
2665	snowy road	cars	independent
2666	snowy road	Two men with cars	independent
2667	fishing	men	independent
2668	fishing	poles	independent
2669	fishing	Two men	independent
2670	fishing	fishing poles	independent
2671	men	fishing	independent
2672	men	poles	independent
2673	men	fishing poles	independent
2674	poles	fishing	independent
2675	poles	men	independent
2676	poles	Two men	independent
