CombID	label	meta	preds	pred
55	disjoint	org	[1.2312393188476562, 1.5500664710998535, -2.5515615940093994, 0.01943628489971161, 1.6620844602584839, -1.4679608345031738, -1.2077953815460205, 0.18133045732975006, 1.1133058071136475, -0.25281813740730286, 0.2415396273136139, -0.1306331306695938, -0.5928899049758911, -0.9471049904823303, 1.3961700201034546, -0.235765278339386, -0.5550830364227295, 0.5853836536407471, 0.8528809547424316, -0.11681400239467621, -0.9538558721542358, 0.6474530100822449, -1.3223772048950195, 0.3069900870323181, 1.2951362133026123, 1.6555697917938232, -2.6868679523468018, 1.121506690979004, 0.6061241030693054, -1.8026621341705322, -1.5209503173828125, 2.101797342300415, -0.337732195854187, -0.7294179201126099, 1.8220856189727783, -0.9075140953063965, -2.5748097896575928, 0.46785205602645874, 2.4101309776306152, -2.976653814315796, -1.129744529724121, 4.700246810913086, -3.1685078144073486, 0.14404825866222382, 3.4304733276367188, -3.1020514965057373, -0.39483463764190674, 3.9855458736419678, -2.636733293533325, -0.7931700944900513, 4.027655601501465, -3.0433897972106934, -1.210532307624817, 4.956436634063721]	disjoint
56	disjoint	add	[1.4316489696502686, 1.344480037689209, -2.5812909603118896, -0.16038136184215546, 0.657234787940979, -0.5438336133956909, -1.655826210975647, 0.24824251234531403, 1.568631887435913, 0.3593830466270447, -0.21721044182777405, -0.3905952572822571, -0.9829936027526855, -1.3503787517547607, 2.2378413677215576, 1.4489238262176514, -1.3569656610488892, -0.42429882287979126, -0.01144821010529995, -0.8297607898712158, 0.535128116607666, 0.3281073570251465, -1.211159348487854, 0.5237505435943604, 1.32010018825531, 1.4219322204589844, -2.5523009300231934, 1.340349555015564, 0.49296095967292786, -1.9126245975494385, -2.170391798019409, 0.5635424852371216, 1.8109264373779297, -0.638080358505249, 1.5917493104934692, -0.8015176057815552, -2.5520663261413574, -0.6198168992996216, 3.5878586769104004, -3.267643690109253, -0.9303668737411499, 4.915179252624512, -3.1155126094818115, -0.36323583126068115, 3.960599899291992, -3.4116480350494385, -0.5901678800582886, 4.698600769042969, -2.513350009918213, -1.2480769157409668, 4.279994010925293, -2.7393181324005127, -0.9253617525100708, 4.309106826782227]	independent
57	disjoint	org	[-0.7348357439041138, -0.8546547293663025, 1.416749358177185, -1.301694631576538, 1.828038215637207, -0.488875150680542, -2.425605058670044, 0.43002787232398987, 2.107393741607666, -1.9075568914413452, 0.5157718658447266, 1.4428001642227173, -2.4121949672698975, 0.19399820268154144, 2.4072470664978027, -1.8430362939834595, 1.4064152240753174, 0.40066230297088623, -1.0352330207824707, -1.3156096935272217, 2.2471301555633545, -1.7918246984481812, -0.7783145904541016, 2.7082583904266357, -1.8460097312927246, 2.1941375732421875, -0.2789437472820282, -1.4337513446807861, 0.6836813688278198, 0.7054299116134644, -2.6491940021514893, 0.03390881419181824, 2.8579158782958984, -1.284777045249939, -1.52407968044281, 2.796680212020874, -3.156766176223755, 0.8002927899360657, 2.5529184341430664, -3.208127021789551, 0.8598208427429199, 2.551060676574707, -3.1722054481506348, 0.3728678226470947, 3.016225814819336, -3.669071912765503, 0.9765234589576721, 2.9761688709259033, -2.9443633556365967, -1.7188522815704346, 5.319901466369629, -2.9862799644470215, -1.4994463920593262, 5.067448616027832]	disjoint
58	forwardentailment	org	[4.359766960144043, -0.47666990756988525, -3.656155824661255, 2.401337146759033, 1.04795503616333, -3.2146973609924316, 2.859783887863159, 1.1106245517730713, -3.6841208934783936, 2.1345202922821045, 2.2874770164489746, -3.8313827514648438, 5.403389930725098, -1.815714955329895, -3.3158881664276123, 3.7664597034454346, -0.39537128806114197, -3.2437212467193604, 4.1236467361450195, -1.3312517404556274, -2.772113800048828, 3.030325174331665, -0.5427537560462952, -2.549579620361328, 4.118048667907715, 0.28181788325309753, -4.068778038024902, 3.320472002029419, 1.4389829635620117, -4.220242500305176, 4.904711723327637, -1.6318855285644531, -3.107175588607788, 0.7490076422691345, 3.6558377742767334, -3.503924608230591, 3.4610931873321533, -1.4446232318878174, -2.074836015701294, 0.8070352077484131, 0.6959608793258667, -1.5203347206115723, 4.442416191101074, -1.5500491857528687, -2.8670897483825684, 0.9549681544303894, -0.8156940340995789, -0.44841718673706055, 3.3173296451568604, -0.17856502532958984, -3.0204098224639893, 0.48561620712280273, 1.5008022785186768, -1.7548158168792725]	forwardentailment
59	forwardentailment	org	[4.498863220214844, -1.045888066291809, -3.2893929481506348, 2.1996917724609375, -0.45627278089523315, -1.8159198760986328, 1.4544123411178589, -2.0461344718933105, 0.17970697581768036, -0.5966142416000366, -2.1511497497558594, 2.552429676055908, 5.10262393951416, -1.677268624305725, -3.2316176891326904, 3.2203986644744873, -0.6100295782089233, -2.659348964691162, 4.897466659545898, -2.040623188018799, -2.736933708190918, 0.4874054193496704, -1.169341802597046, 0.34750425815582275, 4.491562843322754, -0.7496346235275269, -3.565460681915283, 3.418304681777954, -0.3521527051925659, -3.0519580841064453, 4.732240676879883, -1.4915200471878052, -3.112647294998169, 0.5072062015533447, 1.3281729221343994, -1.699495792388916, 2.526890993118286, -0.7379112243652344, -1.938990592956543, -1.9720748662948608, 1.2973394393920898, 0.8480974435806274, 2.435537099838257, -1.2788996696472168, -1.3986163139343262, -1.9299098253250122, -0.48259803652763367, 2.5127315521240234, 2.0763707160949707, -1.300011396408081, -1.0519784688949585, -1.5818310976028442, -1.0019320249557495, 2.7303590774536133]	forwardentailment
60	forwardentailment	org	[4.27824592590332, -1.0615477561950684, -3.121218204498291, 2.1012489795684814, 0.1411651372909546, -2.2603914737701416, 2.85959792137146, -1.3378361463546753, -1.6951625347137451, 0.13178598880767822, -0.42764294147491455, -0.03474234789609909, 4.702000617980957, -1.4136110544204712, -3.1774420738220215, 2.1075687408447266, -0.36890074610710144, -1.8961288928985596, 4.549259185791016, -1.999462604522705, -2.506962776184082, 2.8412344455718994, -1.9329334497451782, -1.0888683795928955, 4.317956924438477, -0.7021820545196533, -3.483041763305664, 2.684217691421509, 0.40977102518081665, -3.041025400161743, 4.633816719055176, -1.1252079010009766, -3.3753702640533447, 1.997817873954773, 0.8304798603057861, -2.7574822902679443, 2.7361268997192383, -0.7178481817245483, -2.11611008644104, -1.4366346597671509, 1.0669749975204468, 0.4298892021179199, 2.5995373725891113, -0.7640100121498108, -2.0087053775787354, -0.7878774404525757, 0.04199238121509552, 0.6335396766662598, 1.71071195602417, -0.9873805046081543, -1.0051370859146118, -1.2705985307693481, -0.6313799619674683, 1.9211804866790771]	forwardentailment
61	disjoint	add	[0.7145702242851257, 0.007205285131931305, -0.9680452346801758, 1.3265562057495117, 0.7012914419174194, -2.07273268699646, -1.1344295740127563, -1.2376744747161865, 2.335257053375244, -0.1538163423538208, -1.9017360210418701, 1.7532198429107666, -0.6609524488449097, 0.021536482498049736, 0.4818880558013916, 1.7550928592681885, -1.5581218004226685, -0.4282703101634979, 0.9785677790641785, -1.7515199184417725, 0.49340784549713135, 2.139007806777954, -2.094895362854004, -0.20553293824195862, 1.3823426961898804, -0.32803013920783997, -1.2452704906463623, 2.966068744659424, -0.761795163154602, -2.269467830657959, -0.459270179271698, -0.25333088636398315, 0.5224170684814453, -0.9479653239250183, -1.0051583051681519, 1.8947882652282715, -2.322096109390259, -0.06239257752895355, 2.7298734188079834, -0.9043117761611938, -1.967860221862793, 2.743297576904297, -2.2059779167175293, -0.4166663885116577, 2.9412472248077393, -0.4246869683265686, -1.4567559957504272, 1.5943381786346436, -1.9450955390930176, -0.7403672337532043, 2.995546340942383, -1.0045455694198608, -1.6667441129684448, 2.554403305053711]	disjoint
62	disjoint	org	[1.4979796409606934, 1.0944454669952393, -2.4674196243286133, 0.5800421237945557, -0.28294503688812256, -0.5421276092529297, 0.8697121143341064, 0.06534777581691742, -1.1365671157836914, 1.0564610958099365, -0.4845312237739563, -0.8820157051086426, 2.2262609004974365, -1.5741846561431885, -0.9252051711082458, 2.74320650100708, -1.7955076694488525, -1.1811800003051758, 1.7520387172698975, -1.256110668182373, -0.7841857671737671, 0.6610561609268188, -1.7692632675170898, 0.7102798223495483, 2.5185840129852295, 0.039228446781635284, -2.596920967102051, 2.428209066390991, 0.022384434938430786, -2.5256590843200684, 0.5975693464279175, 1.720054268836975, -2.093153476715088, 0.27920371294021606, -0.48686110973358154, -0.06695012003183365, -1.3857932090759277, 0.03222540020942688, 1.414529800415039, -1.9301166534423828, -0.6155968308448792, 2.710857391357422, -1.9691429138183594, -0.17723426222801208, 2.2645950317382812, -1.4495729207992554, -0.6943432092666626, 2.0585532188415527, -0.7087060809135437, -1.5629091262817383, 2.1087443828582764, -0.9687899947166443, -1.6678502559661865, 2.5585622787475586]	disjoint
63	disjoint	add	[0.557794988155365, 2.220574378967285, -2.4561660289764404, 0.305308073759079, 0.9857689142227173, -1.2909467220306396, -0.4611298143863678, 2.007542133331299, -1.3789241313934326, -1.228341817855835, -0.9331940412521362, 2.2218575477600098, 0.802211582660675, 0.25592729449272156, -1.2134681940078735, 1.9966888427734375, -1.7329728603363037, -0.5384780168533325, 1.015620231628418, -1.1989326477050781, -0.1608043909072876, 0.4164571166038513, -2.5016655921936035, 1.7048518657684326, 1.9679725170135498, 0.925743043422699, -2.791034460067749, 2.136409044265747, 0.4281960129737854, -2.5714821815490723, -0.3392080068588257, 2.93817138671875, -2.0861449241638184, -0.119808129966259, -0.4696340560913086, 0.35610365867614746, -1.824535608291626, 0.9736633896827698, 1.1028106212615967, -1.8693801164627075, -1.2471979856491089, 3.3137030601501465, -2.436487913131714, -0.13084320724010468, 2.9012556076049805, -1.1217350959777832, -1.2097437381744385, 2.1811020374298096, -1.6529232263565063, -0.6428289413452148, 2.531336784362793, -1.745720624923706, -1.1758055686950684, 3.2285542488098145]	independent
64	forwardentailment	org	[3.94352650642395, -0.28509536385536194, -3.496703624725342, 1.9794436693191528, 1.6578097343444824, -3.3502118587493896, 2.317981004714966, 1.6217827796936035, -3.5867364406585693, 1.364053726196289, 2.0625369548797607, -3.0512804985046387, 5.1295881271362305, -0.9307640790939331, -3.8717246055603027, 0.35666340589523315, 4.485134124755859, -3.8247056007385254, 3.894883871078491, -1.3042693138122559, -2.645280599594116, 0.8820977210998535, 0.7769570350646973, -1.6243538856506348, 4.622149467468262, -0.5290875434875488, -3.8577733039855957, 4.122932434082031, 0.21689602732658386, -4.038861274719238, 4.993772506713867, -1.1697368621826172, -3.5700175762176514, 4.06373405456543, 0.2863909602165222, -4.043093681335449, 2.7126567363739014, -0.5398492813110352, -2.277331829071045, -0.9475194215774536, 2.8603901863098145, -1.4390802383422852, 4.225917816162109, -0.7526919841766357, -3.3782336711883545, 0.45047861337661743, 3.510026216506958, -3.269667148590088, 2.544555902481079, 1.4776347875595093, -3.636930465698242, 1.1107780933380127, 3.252854824066162, -3.5805115699768066]	forwardentailment
65	forwardentailment	add	[4.234612464904785, -0.6256735920906067, -3.4473469257354736, 0.4944864511489868, 2.4848570823669434, -2.59915828704834, 3.829808473587036, 0.14090965688228607, -3.7600176334381104, 0.5291091203689575, 4.573634147644043, -3.9985828399658203, 5.296189308166504, -1.5012521743774414, -3.5117602348327637, -0.9693765640258789, 4.994511127471924, -3.0703797340393066, 5.050371170043945, -2.0767388343811035, -2.8789761066436768, 1.0453746318817139, 1.5094249248504639, -2.311825752258301, 5.018770217895508, -1.0084679126739502, -3.7328104972839355, 2.3498857021331787, 1.4621589183807373, -3.4273810386657715, 5.573390960693359, -2.168257236480713, -3.058321952819824, -0.2525603771209717, 3.2692794799804688, -2.502951145172119, 4.5426025390625, -1.8824341297149658, -2.5732920169830322, -1.9580649137496948, 1.8582050800323486, 0.44888848066329956, 4.941947937011719, -1.6143200397491455, -3.166745662689209, -1.8651739358901978, 2.775313377380371, -0.545314610004425, 3.588900566101074, -0.23733291029930115, -3.2375504970550537, -0.8781214952468872, 3.2206873893737793, -1.8021416664123535]	forwardentailment
66	disjoint	add	[2.6615231037139893, 1.6098620891571045, -3.8349475860595703, -1.4387601613998413, 4.509130954742432, -2.283627510070801, 0.8141360878944397, 2.5482449531555176, -2.815718650817871, -0.932553768157959, 2.7671077251434326, -1.4615271091461182, 2.809140682220459, 0.7224090099334717, -3.3031718730926514, -0.44245100021362305, 2.3651041984558105, -1.68253493309021, 2.607834577560425, 0.4227710962295532, -2.9372293949127197, 0.5391025543212891, -1.7752244472503662, 0.9018740057945251, 2.6191294193267822, 0.29983341693878174, -2.853639841079712, 1.7449650764465332, 0.8982957601547241, -2.5579707622528076, 0.45542287826538086, 1.6111023426055908, -1.845310091972351, 1.2102782726287842, 0.553598940372467, -1.8443505764007568, 0.7813687324523926, 1.500159740447998, -2.0672998428344727, -0.5876466035842896, 0.19603131711483002, 0.3297550678253174, -0.13865333795547485, 0.7100839018821716, -0.6098394989967346, -1.4571492671966553, 0.6618493795394897, 0.8577636480331421, 1.0558185577392578, 1.5851253271102905, -2.3955414295196533, -1.2252366542816162, 1.7784507274627686, -0.3015163540840149]	independent
67	forwardentailment	org	[1.0005416870117188, 4.000197887420654, -4.028061866760254, -1.0728214979171753, 4.4022674560546875, -2.4931912422180176, 3.653914213180542, 0.8833307027816772, -4.167787551879883, 0.44688671827316284, 1.3099768161773682, -1.6083208322525024, 2.3458058834075928, 2.646615743637085, -4.2868146896362305, -1.6749095916748047, 2.8270084857940674, -0.6763143539428711, 2.114353656768799, 0.8343629837036133, -2.8256189823150635, -0.9617584943771362, -0.320254385471344, 1.208094596862793, 1.5631892681121826, 3.320512294769287, -4.090202808380127, 2.659188985824585, 1.19716477394104, -3.5665149688720703, 1.6795989274978638, 2.508380174636841, -3.626030921936035, -0.5147137641906738, 2.327329635620117, -1.5148166418075562, -0.5968816876411438, 3.094820261001587, -1.9890625476837158, -1.8595141172409058, 0.7375907897949219, 1.3266993761062622, -2.258721113204956, -0.4449465870857239, 2.931114673614502, -2.9442360401153564, 0.46053117513656616, 2.821993112564087, 0.3427606225013733, 0.8372286558151245, -1.2179288864135742, -1.3694345951080322, 0.42624425888061523, 1.103851318359375]	independent
68	disjoint	add	[-0.10369112342596054, 1.7597172260284424, -1.4376308917999268, -0.16561259329319, 4.0545148849487305, -3.005786895751953, -0.468686044216156, 2.3580377101898193, -1.531712293624878, 1.3152521848678589, -0.29193514585494995, -1.2705973386764526, -1.9586430788040161, 0.20403562486171722, 2.029604434967041, -1.2163631916046143, 1.0455268621444702, 0.32174932956695557, -1.4083726406097412, 2.188154697418213, -0.41963160037994385, 0.4232103228569031, -0.8422291874885559, 0.13754567503929138, 0.12479276955127716, 2.206315279006958, -1.9781451225280762, 2.364439010620117, 0.9796746373176575, -3.1679065227508545, -0.8934568166732788, 1.7330485582351685, -0.6310580372810364, 0.9485175609588623, 3.246234893798828, -3.47516131401062, -1.4907147884368896, 1.0828303098678589, 0.580807626247406, -1.5096482038497925, 0.502517819404602, 1.127964735031128, -2.5439417362213135, -0.09779564291238785, 2.973069667816162, -1.9220051765441895, -0.09581764042377472, 2.132622241973877, -0.7218908071517944, 1.6464948654174805, -0.7444278001785278, -0.7347555160522461, 1.4041948318481445, -0.5784666538238525]	independent
69	disjoint	org	[-2.2946290969848633, 1.2230994701385498, 1.3740540742874146, -1.6154634952545166, 1.159191370010376, 0.622627317905426, -1.9280399084091187, 0.23042702674865723, 1.8757336139678955, -1.0227100849151611, 0.8364328145980835, 0.10413351655006409, -2.954559564590454, -0.47963324189186096, 3.9188241958618164, -2.6041033267974854, 0.1258636862039566, 2.8765454292297363, -0.29359567165374756, -0.27164894342422485, 0.359161913394928, -0.8158730268478394, -0.4005453586578369, 1.0949565172195435, -1.5425527095794678, 1.1129515171051025, 0.4833733141422272, -0.45067453384399414, 0.005748089402914047, 0.25547105073928833, -1.7743902206420898, 1.0122066736221313, 0.8536869287490845, -1.8560072183609009, 0.3296991288661957, 1.5992302894592285, -3.4092767238616943, -0.09056678414344788, 4.066779136657715, -3.1682114601135254, 0.28393620252609253, 3.342038154602051, -4.023455619812012, 0.5661859512329102, 3.9614508152008057, -3.8439924716949463, 0.7811622619628906, 3.5574288368225098, -2.6569812297821045, -1.6300833225250244, 4.901581764221191, -2.709916830062866, -1.7646453380584717, 5.069792747497559]	disjoint
70	forwardentailment	org	[1.857290506362915, 1.2152431011199951, -3.025465726852417, -0.7607545852661133, 3.4776611328125, -2.0353951454162598, 3.4100801944732666, -0.5924087762832642, -2.857563018798828, 1.1677626371383667, 1.9129877090454102, -2.786703586578369, 4.6898698806762695, -0.9916808009147644, -3.5335354804992676, 0.7797982692718506, 2.5010268688201904, -2.827512264251709, 4.09639835357666, -1.9511475563049316, -2.2221527099609375, -0.5532917380332947, 0.5810537934303284, -0.12034076452255249, 3.4280178546905518, -0.26526349782943726, -3.114220142364502, 1.2455716133117676, 2.696288824081421, -3.359917640686035, 3.9660465717315674, -0.9049075841903687, -3.010338544845581, 2.133491039276123, 1.4180104732513428, -3.2790744304656982, 1.8478442430496216, -0.4505659341812134, -1.597572684288025, -0.6551196575164795, 1.6464600563049316, -0.8160498142242432, 3.742373466491699, -0.9297647476196289, -2.808295488357544, 0.9004123210906982, 2.674795627593994, -3.0774483680725098, 1.6140003204345703, -0.6758655309677124, -1.1841483116149902, 1.1358318328857422, 1.4730675220489502, -2.377819538116455]	independent
71	forwardentailment	add	[0.7291451096534729, 1.7273322343826294, -2.2595362663269043, -1.1482096910476685, 2.7910172939300537, -1.180755615234375, 2.819587230682373, 1.3626670837402344, -3.8383545875549316, -0.44115176796913147, 2.7248475551605225, -1.8963663578033447, 2.1559510231018066, 1.8059203624725342, -3.561943531036377, -0.2735579311847687, 2.1355957984924316, -1.6524982452392578, 4.849997520446777, -1.7035573720932007, -3.0230045318603516, 0.714859127998352, 0.9929580688476562, -1.6644775867462158, 4.499468803405762, -0.8253252506256104, -3.4919633865356445, 0.5164480209350586, 3.162356376647949, -3.0779967308044434, 3.9501237869262695, -0.3010346293449402, -3.518120050430298, 0.5354779362678528, 2.7588775157928467, -2.823117256164551, 2.0722410678863525, 0.42979806661605835, -2.528921604156494, -0.8070995211601257, 1.6354554891586304, -0.6838619709014893, 1.5092412233352661, 0.9276614189147949, -2.4255599975585938, -0.5628348588943481, 2.899160861968994, -1.9183650016784668, 1.7051501274108887, 2.197338819503784, -3.5112340450286865, -0.6778526902198792, 4.26777458190918, -2.784644365310669]	independent
72	independent	add	[-0.14873158931732178, 1.0417293310165405, -0.9364639520645142, -1.2803568840026855, 4.072582244873047, -2.038541793823242, 2.7951462268829346, 0.5946489572525024, -3.2941763401031494, 0.9201920628547668, 1.140824794769287, -2.0305874347686768, 1.9235894680023193, 2.0364606380462646, -3.5349111557006836, -0.08510241657495499, 2.4325952529907227, -2.0521230697631836, 4.8315887451171875, -1.938725471496582, -2.830901622772217, -0.028885845094919205, 0.05009281635284424, -0.18092317879199982, 4.420299530029297, -0.7242109775543213, -3.5282235145568848, 0.4713866114616394, 3.401620864868164, -3.189772844314575, 4.749608993530273, -1.2368124723434448, -3.3334999084472656, 1.6792728900909424, 2.0601205825805664, -3.344423770904541, 3.1439926624298096, -0.49270474910736084, -2.7053041458129883, -0.984454870223999, 2.9758925437927246, -1.4935301542282104, 3.1794419288635254, -0.16779352724552155, -3.0212881565093994, -0.3009834885597229, 3.605926513671875, -2.695958375930786, 2.308151960372925, -0.21613799035549164, -2.1912877559661865, -0.25329601764678955, 3.1599395275115967, -2.3460826873779297]	independent
73	independent	org	[3.124788522720337, -0.9794326424598694, -2.2328145503997803, 2.8707237243652344, -0.6709052324295044, -2.3005752563476562, -1.29241144657135, -2.1822080612182617, 3.628690242767334, -0.9173638820648193, -2.12709903717041, 3.007023811340332, 4.568148612976074, -1.6354864835739136, -2.8125603199005127, 3.6345043182373047, -1.1548206806182861, -2.513261556625366, 3.6159536838531494, -2.709416627883911, -1.0315124988555908, 3.881967306137085, -2.863600730895996, -1.1400811672210693, 4.090091705322266, -0.15929853916168213, -3.7486374378204346, 3.5097110271453857, -0.5860637426376343, -2.9330825805664062, 3.3828792572021484, -1.3120357990264893, -2.1699092388153076, 2.470741033554077, -1.0404926538467407, -1.6450231075286865, 0.23353514075279236, -0.3604109287261963, -0.18349185585975647, 0.16093310713768005, -0.7786569595336914, 0.24960142374038696, 1.0666141510009766, -0.9918563365936279, -0.42693519592285156, 2.958482027053833, -1.4796433448791504, -1.6859960556030273, -1.5584807395935059, -1.8213012218475342, 3.555058479309082, -0.7364464402198792, -1.9928086996078491, 2.565795421600342]	forwardentailment
74	disjoint	add	[0.07834595441818237, 2.2750964164733887, -2.0760717391967773, -0.11110195517539978, 1.0358366966247559, -0.9846901893615723, -0.3810780346393585, 0.08065870404243469, 0.11544933915138245, -1.1878809928894043, -1.12227201461792, 2.3428783416748047, 0.4538666605949402, 1.1439802646636963, -1.602264165878296, -0.7231348752975464, 0.024304281920194626, 0.6245275139808655, 2.3069069385528564, -0.7129467725753784, -1.7616066932678223, 0.8931975364685059, -2.226700782775879, 1.0838154554367065, 1.2117282152175903, 2.2603280544281006, -3.0577688217163086, 1.0082511901855469, 0.7851243019104004, -1.777394413948059, -0.37965840101242065, 3.452587842941284, -2.4301905632019043, -0.738448441028595, 2.3298158645629883, -1.278308629989624, -0.8190177083015442, 0.7189476490020752, 0.10782952606678009, -2.955432176589966, 0.6043520569801331, 2.806248664855957, -0.8492777943611145, 0.1105290949344635, 0.6725270748138428, -1.984239101409912, -0.08793261647224426, 2.241210460662842, -1.2128561735153198, 0.12749603390693665, 1.168774962425232, -2.2895705699920654, 0.44572222232818604, 2.2630715370178223]	independent
75	disjoint	add	[1.4539127349853516, -0.8135488033294678, -0.9200721979141235, -1.0892053842544556, 2.5231919288635254, -1.0971283912658691, -0.7769569754600525, -2.1099157333374023, 2.7796082496643066, -0.7813178300857544, 0.22239772975444794, 0.47348490357398987, 1.8655712604522705, -1.3873974084854126, -0.774505615234375, -0.9177479147911072, 1.046195149421692, -0.08248746395111084, 2.6123998165130615, -2.7037577629089355, -0.08899247646331787, 1.149756669998169, -2.1528496742248535, 0.6500950455665588, 3.2759809494018555, -0.2692223787307739, -2.989241123199463, 1.3545498847961426, 1.034034013748169, -2.2792344093322754, 1.6962132453918457, -1.0353305339813232, -0.8901441693305969, 0.35588639974594116, 0.5253261923789978, -0.9935208559036255, -0.5494915246963501, -1.72214674949646, 2.032503128051758, -2.5453922748565674, 1.0825477838516235, 1.7697149515151978, 0.5900894999504089, -1.7882658243179321, 0.7930359840393066, -1.9315452575683594, -0.5404155254364014, 2.6628997325897217, -2.273181676864624, -1.157153844833374, 3.8305602073669434, -2.297264575958252, 0.0341050885617733, 2.6709275245666504]	independent
76	independent	org	[3.1425349712371826, 1.0274831056594849, -3.8313302993774414, -0.5139714479446411, 4.267578125, -2.8747475147247314, 0.5090731382369995, -1.042090892791748, 0.14442625641822815, 1.020120620727539, -0.5056357383728027, -0.7988592386245728, 3.6097824573516846, -0.668730616569519, -2.9538283348083496, 3.391035795211792, 0.5752610564231873, -3.709825277328491, 4.0908708572387695, -1.5517354011535645, -2.5437116622924805, 1.9728498458862305, -0.6944274306297302, -1.515474796295166, 4.943119049072266, -0.8254832029342651, -3.8362531661987305, 0.7167395353317261, 2.5653064250946045, -2.7877590656280518, 4.7326459884643555, -1.338751196861267, -3.2230052947998047, 1.6397943496704102, 1.3581702709197998, -2.8090598583221436, 2.1988887786865234, -0.573718786239624, -1.772545576095581, 1.5383241176605225, 1.1097322702407837, -2.510488748550415, 3.614553928375244, -1.2750674486160278, -2.4088902473449707, 3.3425843715667725, -0.8722959756851196, -2.54886531829834, 1.998671054840088, -0.42264461517333984, -1.7457666397094727, 0.2625797986984253, 1.522209882736206, -1.6144168376922607]	independent
77	disjoint	add	[0.03377673774957657, 2.5273478031158447, -2.198578357696533, -2.6988468170166016, 3.9706292152404785, -0.6133097410202026, 0.6425586938858032, 1.7047631740570068, -2.1084630489349365, -0.275795578956604, 0.07756416499614716, -0.02490178868174553, -0.7556754946708679, -0.17059311270713806, 0.8180105090141296, -1.7265005111694336, 1.1131089925765991, 0.8004294633865356, 1.739481806755066, -0.7775388360023499, -1.2016602754592896, 1.0004115104675293, -1.0927270650863647, -0.25158387422561646, -0.5758603811264038, 1.4620640277862549, -0.801345705986023, -1.0691089630126953, 2.5058910846710205, -1.16457200050354, -1.3156224489212036, -1.1824078559875488, 2.5683112144470215, -2.014219045639038, 2.8808095455169678, -0.477557897567749, -2.0159647464752197, -1.2495741844177246, 3.5486526489257812, -2.342090606689453, -0.006040103733539581, 2.666802406311035, -1.3038012981414795, 1.0130653381347656, 0.29742667078971863, -2.184534788131714, 0.26607370376586914, 2.105543851852417, -0.23449274897575378, 0.5858712196350098, -0.4885779023170471, -1.9650843143463135, -0.3005814552307129, 2.5612435340881348]	independent
78	disjoint	add	[-0.36822518706321716, 2.561734199523926, -1.8107954263687134, -0.7399677038192749, 4.253569602966309, -2.6459262371063232, 2.6515355110168457, 0.5573570132255554, -3.0048623085021973, 2.3594930171966553, -0.5375626087188721, -1.9398705959320068, -0.832777738571167, 1.0399198532104492, -0.22464874386787415, 1.5541585683822632, -0.2919272780418396, -1.4923498630523682, 1.5451159477233887, 0.05154895782470703, -1.741135835647583, 2.4854347705841064, -0.9652328491210938, -1.7024409770965576, 1.7615532875061035, 1.9312934875488281, -3.31113862991333, 0.5080087780952454, 3.277829170227051, -3.080538749694824, -0.07791771739721298, 0.2387961745262146, -0.32870209217071533, 0.8255032300949097, 1.1449482440948486, -1.9320125579833984, -1.9961408376693726, 1.746991753578186, 0.5008927583694458, 0.97027587890625, -0.3497960567474365, -0.8599464297294617, -3.1079437732696533, 1.3393373489379883, 1.9701666831970215, -0.47728466987609863, -0.7703481316566467, 1.0092039108276367, -0.5274436473846436, -0.558588981628418, 0.8665354251861572, -1.086807370185852, -0.6949824690818787, 1.7456310987472534]	independent
79	independent	org	[1.105804443359375, 0.0647004246711731, -1.349297046661377, -1.7124518156051636, 3.2691752910614014, -0.9758773446083069, 0.8061381578445435, 1.7638925313949585, -2.3964309692382812, -1.0596493482589722, 3.1973419189453125, -1.5963969230651855, 0.546521782875061, 0.47924694418907166, -1.188581943511963, -3.3549997806549072, 1.0474375486373901, 2.834796190261841, -0.8385165333747864, -0.6392943859100342, 1.32342529296875, -2.3476412296295166, 1.1073349714279175, 1.4702569246292114, -0.4473631978034973, 2.907874822616577, -1.9984495639801025, -1.3853418827056885, 4.123386383056641, -1.965559959411621, -1.184821367263794, 1.1118712425231934, 0.05292510986328125, -2.022455930709839, 4.773381233215332, -1.8783081769943237, -1.6897927522659302, 1.954904317855835, -0.11282423138618469, -3.3327012062072754, 1.1404954195022583, 2.614899158477783, -1.7736692428588867, -0.19052283465862274, 1.9961509704589844, -2.4648754596710205, -0.08163202553987503, 2.794454574584961, -0.8961524963378906, -1.0369263887405396, 1.8508399724960327, -1.9583840370178223, -1.321721076965332, 3.623356342315674]	independent
